gene	p_snp_total	p_snp_synonymous	p_snp_missense	p_snp_lof	p_snp_cadd_l5	p_snp_cadd_g20	p_snp_cadd_g30
FKBP3	9.08803828902486e-06	2.49338806392847e-06	6.03922562325204e-06	3.49395331043824e-07	8.43474607345345e-06	6.86942393642427e-06	1.96290967171537e-06
FKBP4	2.11723996152078e-05	5.86747444589859e-06	1.41976759968065e-05	7.90492912212499e-07	1.94084734373771e-05	1.33222344963577e-05	5.70714320460862e-06
FKBP5	1.82821710705804e-05	4.83921669087359e-06	1.26137875014259e-05	5.92732603306117e-07	1.64907416295958e-05	1.15177188157196e-05	5.26581718063951e-06
FKBP6	1.81805253278411e-05	5.34696411239236e-06	1.17086385458756e-05	7.34954430554725e-07	1.54624947931244e-05	1.09676946212513e-05	4.80362126400296e-06
FKBP7	9.31298326837441e-06	2.36136736633522e-06	6.4361286138131e-06	3.78633277659979e-07	8.16640724155657e-06	6.68040685855017e-06	3.38164133135221e-06
FKBP8	2.53149291347878e-05	7.48768032937059e-06	1.70513806491993e-05	5.03320934254735e-07	2.27439420595855e-05	1.51637581149066e-05	4.39049054084675e-06
FKBP9	2.37615322929852e-05	7.2172870890666e-06	1.56583776752764e-05	5.55418305166057e-07	2.16275542267855e-05	1.651899356813e-05	6.29607244669214e-06
FKBPL	1.57564569586263e-05	4.05156138982725e-06	1.07033189290274e-05	9.6165458692245e-07	1.33469312663564e-05	1.01092793026431e-05	4.69682912042095e-06
FKTN	2.00139620352036e-05	5.09566112096588e-06	1.36080499697227e-05	1.03824435501456e-06	1.77066097589168e-05	1.21833358893818e-05	5.1568158757485e-06
FLAD1	2.97548961357747e-05	7.55075870600762e-06	2.05980819154695e-05	1.15871998931455e-06	2.53354439052098e-05	1.83531615456541e-05	8.76052005707469e-06
FLCN	3.56785329111727e-05	1.01747012522017e-05	2.40448181259811e-05	9.32303130778891e-07	3.13450002111689e-05	2.40196171489462e-05	1.01376608890384e-05
FLG	0.000185215019085797	5.18850500485086e-05	0.000125049776408953	8.11980958007324e-06	0.000155773957010667	6.76653354277746e-05	3.94668522031938e-05
FLG2	8.25389807627632e-05	2.32853689483642e-05	5.47761393718867e-05	4.42504736344666e-06	7.08849577216578e-05	2.83569131247094e-05	1.75180708797181e-05
FLI1	2.48593783520309e-05	8.12666972388552e-06	1.57961627741373e-05	7.10857991057263e-07	2.26777030169099e-05	1.64597614971317e-05	5.49350927370231e-06
FLII	6.74161984058733e-05	1.87089048862787e-05	4.53122953303772e-05	1.91872838320746e-06	6.02215492475044e-05	4.56341677753151e-05	2.07809563154223e-05
FLJ00104	1.84666931308275e-06	7.28962632348797e-07	1.02385214200068e-06	6.49793484936099e-08	1.26580648404439e-06	7.32129512552781e-07	6.92991326591553e-07
FLJ00273	1.99837131816787e-06	1.91323855406053e-07	1.47971684076231e-06	2.18136193658125e-07	1.84083548684154e-06	8.62135781842985e-07	3.67125244723666e-07
FLJ20306	1.13978613220666e-06	2.74008729481649e-07	7.90872482486261e-07	1.51148463551332e-08	1.1333857479281e-06	8.94946662656908e-07	2.52108593009405e-07
FLJ27365	1.66290603161287e-05	5.02907052593958e-06	1.07486419716192e-05	7.40828644590252e-07	1.0829685256335e-05	9.57235623665809e-06	7.42741359561571e-06
FLJ30594	5.19159215730973e-06	1.42554453992878e-06	3.61728175027096e-06	1.03591772825795e-07	4.2853354468661e-06	1.35300973630901e-06	1.11381666789764e-06
FLJ45079	3.11925772770758e-07	7.6179401135768e-08	2.11431347658172e-07	2.43150239768181e-08	2.72313155131523e-07	1.03415597051782e-07	7.84737455860324e-08
FLNA	0.000162124538934986	5.13603866548397e-05	0.000105790696838906	3.39139411286607e-06	0.000139181637392153	0.000111407483044978	4.08862682126595e-05
FLNB	0.000141602587957768	4.53363356633947e-05	9.14870103978119e-05	3.39699997075399e-06	0.000131770599280552	9.53987515884259e-05	4.23280272113101e-05
FLNC	0.000165008530962081	5.2507437080919e-05	0.000107762654520508	3.01467895384835e-06	0.000152134204861032	0.000114546062427218	4.05062337102037e-05
FLOT1	2.37132402809019e-05	6.15336871489463e-06	1.61370292074781e-05	1.00138537567344e-06	2.01388778225752e-05	1.75457697096307e-05	8.0854987494424e-06
FLOT2	2.63759995176241e-05	6.24429772665628e-06	1.86916193071878e-05	9.90192892249293e-07	2.43329449334903e-05	1.81008696864887e-05	7.56501435472406e-06
FLRT1	4.28324657362137e-05	1.43470661333402e-05	2.7926158028041e-05	5.59241574832477e-07	3.58736315843393e-05	2.62486247007391e-05	9.62232089864873e-06
FLRT2	3.30951572037285e-05	9.78940745732675e-06	2.23034184286189e-05	9.66781046947635e-07	2.87197664515477e-05	2.04776901874612e-05	7.38948075682453e-06
FLRT3	2.50102117816127e-05	6.25843283619362e-06	1.75865500102848e-05	1.12376323213946e-06	2.26028745054432e-05	1.53502101421225e-05	4.77969121629677e-06
FLT1	5.56632451546638e-05	1.57240487446799e-05	3.74446312943669e-05	2.00140792234501e-06	4.88058098349114e-05	3.57540033974287e-05	1.69838812215766e-05
FLT3	4.0190654319165e-05	1.20254535203303e-05	2.60860073241984e-05	1.49646436082883e-06	3.45330389604748e-05	2.3271889479787e-05	1.1452534920065e-05
FLT3LG	1.15566739322282e-05	3.06393646089288e-06	7.73850812661975e-06	2.50775737986452e-07	9.48474142036037e-06	7.15631998039101e-06	3.14927376802097e-06
FLT4	8.25819812294249e-05	2.73183141655854e-05	5.24709083818366e-05	2.09272595247388e-06	7.09705542253013e-05	5.15689783191846e-05	2.34431202220969e-05
FLVCR1	2.85930433554596e-05	9.50487629875607e-06	1.8235577331251e-05	6.57207833953721e-07	2.48357057532712e-05	1.60722286263493e-05	7.471185936153e-06
FLVCR2	2.4900584047845e-05	7.29404695561644e-06	1.65698772230587e-05	5.47908122719873e-07	2.25208714724421e-05	1.44865021320643e-05	6.30561975884424e-06
FLYWCH1	5.25480148971575e-05	1.49182740101609e-05	3.56284613648707e-05	1.43516805154067e-06	4.44640987534307e-05	3.13400667397953e-05	1.48182765681285e-05
FLYWCH2	7.23972874425078e-06	2.25629136038547e-06	4.77734475888219e-06	1.09491157692026e-07	6.1083467019759e-06	4.08053196325833e-06	1.54684356821219e-06
FMN1	7.61326669504329e-05	2.21206740534175e-05	5.10492017122323e-05	2.35668370957783e-06	6.58123442181027e-05	3.95647330001293e-05	1.66140614255245e-05
FMN2	9.19757746184153e-05	3.1619919234346e-05	5.75183700754441e-05	2.38919604831784e-06	7.70724608294373e-05	5.1107530962622e-05	2.00092759819965e-05
FMNL1	4.59950049352473e-05	1.24467550310221e-05	3.14578118729443e-05	1.10362356448225e-06	4.25650171815696e-05	3.2549970027677e-05	1.01702092468884e-05
FMNL2	4.29023876546999e-05	1.16034423412017e-05	2.89843666855303e-05	1.67158587364603e-06	3.92613106455238e-05	3.0789287154441e-05	1.18196324526963e-05
FMNL3	4.34305942643938e-05	1.09211166361159e-05	3.05840363432714e-05	1.26423555087831e-06	4.09432967277359e-05	3.34652856477823e-05	1.49559218186619e-05
FMO1	1.9843488587118e-05	5.00398652272598e-06	1.34880139617097e-05	1.05749730521704e-06	1.78847828551675e-05	1.2800028644283e-05	4.73216049879806e-06
FMO2	1.86968686377586e-05	4.75673235549924e-06	1.29994497892504e-05	6.7458059360963e-07	1.65946574842718e-05	1.29397992903742e-05	4.70507155184544e-06
FMO3	2.06722380869205e-05	5.58953667349377e-06	1.40930721357624e-05	7.43084516427178e-07	1.84924388428854e-05	1.3006058314132e-05	4.28653573939276e-06
FMO4	2.04087600260262e-05	5.18004934553169e-06	1.40573901732994e-05	9.74929293628896e-07	1.78919867599488e-05	1.24294870084124e-05	4.80327152967575e-06
FMO5	1.94018662968348e-05	4.67010005289739e-06	1.36967965840273e-05	8.23737529001692e-07	1.72817979334671e-05	1.35384273320669e-05	6.02545882500412e-06
FMO6P	1.73975312289335e-05	4.65718462470931e-06	1.1925022562664e-05	5.6462163817641e-07	1.49155540724174e-05	1.10586508043002e-05	3.59582686911116e-06
FMOD	1.96478532643121e-05	6.24016983597578e-06	1.28531209483731e-05	4.96486524038428e-07	1.69657322819089e-05	1.3274746139184e-05	4.9557933639913e-06
FMR1	2.46328768788654e-05	4.50186562519379e-06	1.86165376540039e-05	1.08278891156358e-06	2.23611967674869e-05	1.68748060539271e-05	6.43328581404322e-06
FMR1NB	1.22486304280715e-05	3.41418870427618e-06	8.1226875896469e-06	3.81279673044074e-07	1.03697823519798e-05	4.70109413269133e-06	2.37869229092913e-06
FN1	0.000110991324573908	3.07306675492229e-05	7.38161911716537e-05	4.73376347037164e-06	9.95876613302137e-05	7.7758404496876e-05	3.32768001277382e-05
FN3K	1.58648631161299e-05	5.0225970704247e-06	1.00677137104867e-05	6.87893598809507e-07	1.45580953078413e-05	9.6645225772356e-06	4.53218328300529e-06
FN3KRP	1.6981455272875e-05	5.07394399102392e-06	1.11386981603476e-05	4.66645436567702e-07	1.50629473596625e-05	1.09747336109067e-05	4.33224109411776e-06
FNBP1	2.74181707790778e-05	7.49391098966875e-06	1.83753665069702e-05	1.0879922493519e-06	2.44159195674953e-05	1.89135006922757e-05	7.55258212723768e-06
FNBP1L	2.38891065594967e-05	5.90323915920366e-06	1.6291718510737e-05	1.38486052165499e-06	2.1656693854105e-05	1.68239397751866e-05	7.76697113673313e-06
FNBP4	3.15393525425084e-05	7.44810734856736e-06	2.16014936539342e-05	2.00278459552145e-06	2.79412836828138e-05	2.20421980072721e-05	1.01879350871008e-05
FNDC1	0.000102985724768218	3.2463235770834e-05	6.70761633720991e-05	2.93622104597375e-06	8.75888024001792e-05	5.68858751197883e-05	2.39375298406962e-05
FNDC3A	4.40612503074748e-05	1.00469534315089e-05	3.08982416688781e-05	2.38157003001203e-06	3.93648973305166e-05	2.84884570694623e-05	9.68145073644806e-06
FNDC3B	5.44134107389674e-05	1.56285689204778e-05	3.5776199153204e-05	2.41585747129423e-06	4.86535943815745e-05	3.48960779704573e-05	1.46146049792995e-05
FNDC4	1.22629420953727e-05	3.22607820192913e-06	8.56163624356678e-06	3.78004877194697e-07	1.13123749770434e-05	8.59202014760287e-06	2.15196877198746e-06
FNDC5	9.8112133628518e-06	2.65907927552584e-06	6.75185368049951e-06	2.21681780787173e-07	9.03962204475183e-06	5.85524192468012e-06	2.2387856588023e-06
FNDC7	2.84144481359361e-05	8.16623574258232e-06	1.91195390816554e-05	9.70833811076023e-07	2.52007691627575e-05	1.79901339812605e-05	6.77492639290886e-06
FNDC8	1.44529926310867e-05	4.3812848195272e-06	9.68591200422548e-06	2.98300668813307e-07	1.27885370349932e-05	8.39247895489476e-06	2.96004271798474e-06
FNDC9	1.05307383280772e-05	3.20213792506244e-06	6.85936378936839e-06	4.34274617184543e-07	9.09295988989459e-06	6.26805091138828e-06	2.17952356195179e-06
FNIP1	4.18521243638853e-05	9.97497932716048e-06	2.92957718969415e-05	2.20102300914571e-06	3.7548412074467e-05	2.9796367241502e-05	1.25343892056939e-05
FNIP2	4.44111000030314e-05	1.21867508714695e-05	3.03367277715603e-05	1.62010687928727e-06	3.83648038332052e-05	2.71298965886861e-05	1.36253684567789e-05
FNTA	1.20351098468205e-05	2.67712313918879e-06	8.22705049879197e-06	8.84189081373672e-07	1.10433225802e-05	8.08136837578123e-06	2.91800709002311e-06
FNTB	2.45762095551822e-05	7.01252333885705e-06	1.6152810320803e-05	9.91855574243893e-07	2.33848152339782e-05	1.61564259247221e-05	5.971267180946e-06
FOCAD	6.595607232103e-05	1.72380254424498e-05	4.47096752636486e-05	2.90686041203506e-06	5.73325984644738e-05	4.24188054370939e-05	1.70169921698891e-05
FOLH1	2.50215524915191e-05	6.13092987378633e-06	1.72496240384906e-05	1.16533504838792e-06	2.18712423427543e-05	1.67592644062047e-05	6.18674041663e-06
FOLR1	1.0909556839549e-05	2.82836721856916e-06	7.35365390464616e-06	6.30229705331719e-07	9.69616389925552e-06	6.91414091726752e-06	2.2354808460289e-06
FOLR2	1.16568747152405e-05	2.80784463224477e-06	8.01887153287637e-06	5.2276257484718e-07	9.7220266692875e-06	7.37263634818194e-06	2.64361502258834e-06
FOLR3	1.27778718100894e-05	2.98242596742847e-06	9.11206637885866e-06	4.69072681799204e-07	1.04177791742218e-05	7.30732924329137e-06	3.01852003257864e-06
FOLR4	1.1176068174819e-05	2.92085627276774e-06	7.53627407610986e-06	5.71608747787065e-07	9.47042821632374e-06	7.05806668529247e-06	3.05070502697343e-06
FOPNL	6.563578861698e-06	1.29466243830011e-06	4.58377836150788e-06	4.58038800201714e-07	5.75837251216149e-06	3.95933139330853e-06	1.95477043686175e-06
FOS	2.12964684331098e-05	5.22049067941061e-06	1.47329522123555e-05	7.20977036756783e-07	1.86461411906139e-05	1.27319845545237e-05	5.30649721429399e-06
FOSB	2.16196499005993e-05	7.81783052714154e-06	1.28856452312006e-05	5.16564097710587e-07	2.00846701934357e-05	1.30391307704696e-05	3.80467017156748e-06
FOSL1	1.18366636219726e-05	2.20099879215031e-06	8.74170396826807e-06	7.79942300968438e-07	1.0855916085279e-05	8.51696261803202e-06	3.86912557344439e-06
FOSL2	1.7935828271926e-05	5.13797572695997e-06	1.18859032165768e-05	5.19045063225299e-07	1.59429684813836e-05	1.14953892869967e-05	5.56035492707699e-06
FOXA1	3.06480660786343e-05	1.16757377927948e-05	1.84225047263482e-05	4.48920011699002e-07	2.7786234783684e-05	1.69052508510327e-05	6.04548809301508e-06
FOXA2	3.59022616328154e-05	1.39004467874159e-05	2.12515540287843e-05	6.00871234945403e-07	3.04872579341863e-05	2.02492722065267e-05	9.59491443631503e-06
FOXA3	1.7936361355617e-05	5.94411281677396e-06	1.1639626732464e-05	3.00278380338185e-07	1.47686044205406e-05	1.0926083521619e-05	5.67126679473836e-06
FOXB1	2.85929721773208e-05	1.09122141408851e-05	1.73066685532419e-05	3.37478227956321e-07	2.78093953432755e-05	1.66438379311736e-05	5.65878665503049e-06
FOXB2	2.02917196279765e-05	7.40341605727777e-06	1.25550709639444e-05	2.96621351516854e-07	1.77311289646778e-05	1.32440177308198e-05	3.40813630821589e-06
FOXC1	1.52424358310333e-05	5.32055177612366e-06	9.69363712333333e-06	2.28246931576355e-07	1.43838424204885e-05	1.00086275173588e-05	4.81595413717042e-06
FOXC2	3.58815549113124e-05	1.35669203837735e-05	2.17241522553868e-05	4.91999679788524e-07	3.33297152433139e-05	2.06467123099891e-05	8.53951397181365e-06
FOXD1	3.88309686558288e-06	1.15781590507118e-06	2.66834863164891e-06	5.69323288627872e-08	3.4495196487426e-06	2.88006235823743e-06	4.92478181384948e-07
FOXD2	1.12850680483826e-05	3.78269395627015e-06	7.38091496328275e-06	1.21459128829708e-07	9.94420497225245e-06	8.41005505015592e-06	3.15808935398926e-06
FOXD3	1.00563372333029e-05	3.02771319741968e-06	6.60366194936404e-06	1.56878686343563e-07	9.88989330056987e-06	7.3218161002623e-06	3.65798018741101e-06
FOXD4	3.43767489181559e-05	1.1575828970388e-05	2.21327911442958e-05	6.26663100477289e-07	2.82619184285187e-05	1.91445609641786e-05	9.39045810129811e-06
FOXD4L1	2.91495926672796e-05	9.82112410544431e-06	1.87678969636341e-05	5.19371369550546e-07	2.38738308485471e-05	1.60471586910432e-05	7.29211469885763e-06
FOXD4L2	3.06684686678174e-05	9.82442558498228e-06	2.02497930028842e-05	5.53049851300228e-07	2.7037290312441e-05	1.84726296175005e-05	6.6594847212063e-06
FOXD4L3	3.08861163850789e-05	1.00090853150892e-05	2.02872723873246e-05	5.48558454014462e-07	2.50205891674398e-05	1.84553470873252e-05	8.86148339329064e-06
FOXD4L4	3.06569487271049e-05	9.8266204788284e-06	2.0236133421841e-05	5.52729123440689e-07	2.55986275082942e-05	1.70082247636542e-05	6.18250207019128e-06
FOXD4L5	3.03004356800535e-05	9.83695561647436e-06	1.98673144219671e-05	5.54699938617251e-07	2.59905078114392e-05	1.63741429066343e-05	5.6987803316147e-06
FOXD4L6	3.06978517074125e-05	1.00097719966717e-05	2.00981687909797e-05	5.4844521676628e-07	2.56483198526676e-05	1.76670858071401e-05	5.98494183731435e-06
FOXE1	1.1825027154629e-05	3.86317745822192e-06	7.84527680008161e-06	1.16572896325453e-07	1.14194029447319e-05	8.58801363370027e-06	4.60866660687012e-06
FOXE3	1.11216427230874e-05	3.57697689419179e-06	7.44927666636544e-06	9.53891625301539e-08	1.09134156584572e-05	7.79425395900521e-06	3.00082831671543e-06
FOXF1	2.83560552305331e-05	1.08609714935382e-05	1.69454509488231e-05	5.33900733646014e-07	2.58508403880168e-05	1.61844401500088e-05	7.63438713527425e-06
FOXF2	2.77335183626028e-05	1.03362567818786e-05	1.69799563655203e-05	3.98913559675988e-07	2.69060616607139e-05	1.63753239834065e-05	6.06880184923486e-06
FOXG1	2.66918676764814e-05	1.00429706640902e-05	1.63129963328944e-05	3.35900679496878e-07	2.44548641299869e-05	1.77370107658323e-05	6.2704410825086e-06
FOXH1	1.76423360505427e-05	5.54791863290875e-06	1.14693318589436e-05	5.60052477992382e-07	1.56102637115861e-05	9.71091951325062e-06	3.89597661227705e-06
FOXI1	2.13061137458696e-05	7.17145625617261e-06	1.35761998207801e-05	3.64746081023927e-07	1.79777603766792e-05	1.27799807986053e-05	5.57882506873267e-06
FOXI2	1.66710720657582e-05	6.16801200461797e-06	1.02224499607671e-05	2.71671569171346e-07	1.50237965039699e-05	8.65245829820387e-06	4.04099151979295e-06
FOXJ1	1.74445356125963e-05	6.02730494967291e-06	1.10632285433822e-05	3.46647643565369e-07	1.4129684082865e-05	1.05827653708366e-05	4.57840907612282e-06
FOXJ2	2.36457233808674e-05	5.94916731564878e-06	1.61333168726898e-05	1.18649815171444e-06	2.11699902485626e-05	1.62192729217917e-05	6.32852690950025e-06
FOXJ3	2.46701725404256e-05	6.19754103962374e-06	1.66837475971547e-05	1.31960403301126e-06	2.17730880797719e-05	1.71913837542491e-05	6.27800750724674e-06
FOXK1	3.72004784829999e-05	1.24195456030141e-05	2.38180033441647e-05	5.86139566200945e-07	3.34907536094238e-05	2.52335104906724e-05	1.07063568905475e-05
FOXK2	3.74884614455302e-05	1.26775391701259e-05	2.35730725067638e-05	8.22019864994614e-07	3.32059012263257e-05	2.37483785339965e-05	8.83624896246864e-06
FOXL1	3.0165766477919e-05	1.1161073910587e-05	1.86568272805553e-05	3.06665058126012e-07	2.4528187898253e-05	1.6904353172275e-05	9.17796766383017e-06
FOXL2	1.94212703023677e-05	7.19724705067476e-06	1.19391917539087e-05	2.43365794789431e-07	1.85043511207056e-05	1.24808122894118e-05	4.37981084345899e-06
FOXM1	3.45795867427297e-05	9.63167366028325e-06	2.35254762869748e-05	1.13959562508101e-06	3.00771183058965e-05	2.21654023053322e-05	9.75596443442553e-06
FOXN1	3.27791277862194e-05	1.12333962693401e-05	2.06389465923565e-05	7.55195474085251e-07	2.89823469699365e-05	1.91406193176097e-05	6.69395799806589e-06
FOXN2	1.57699107419631e-05	4.14435543794317e-06	1.06922351817489e-05	8.44164435425608e-07	1.36757947459345e-05	9.82714543253223e-06	3.822821539345e-06
FOXN3	2.49846706422374e-05	8.00505832642825e-06	1.59582241513504e-05	6.50686705201016e-07	2.19184930310931e-05	1.58877129082128e-05	4.79176386263971e-06
FOXN4	2.23564683903288e-05	5.81759951028851e-06	1.53318791628826e-05	9.09040557737003e-07	1.93647046956556e-05	1.43381758681583e-05	5.91084330979129e-06
FOXO1	2.59245823805315e-05	7.93177252462284e-06	1.71583522402252e-05	8.19460951406678e-07	2.27333363833621e-05	1.73782042868439e-05	6.16588205589982e-06
FOXO3	4.27430796825443e-05	1.43199249799615e-05	2.7517120400761e-05	8.46149864758587e-07	3.73566673639759e-05	2.3111888150033e-05	9.14300443899854e-06
FOXO4	2.576407249185e-05	7.63737342156708e-06	1.71426147953774e-05	7.86246424051103e-07	2.20098384251466e-05	1.51894965120267e-05	5.94640857763048e-06
FOXO6	3.44647426521733e-06	5.6446489033097e-07	2.10526976267771e-06	7.76739612208654e-07	3.30120417024259e-06	2.63747329146214e-06	9.39216252482297e-07
FOXP1	3.63849271829387e-05	1.08651219593134e-05	2.322029686551e-05	1.62420321604408e-06	3.27847858308357e-05	2.40748702167736e-05	9.29925223404159e-06
FOXP2	2.87562294923157e-05	7.32695236201554e-06	1.9182707779875e-05	1.75134762361817e-06	2.53910630088719e-05	1.91176244009647e-05	6.27833891744727e-06
FOXP3	1.43979314806641e-05	3.89735400156604e-06	9.74330932915829e-06	4.10257483832495e-07	1.10452845130133e-05	9.65825451480974e-06	5.90067641354291e-06
FOXP4	2.94338853564073e-05	9.24016869940109e-06	1.89185576145548e-05	6.84972223584006e-07	2.62899822519474e-05	1.8596382459219e-05	8.96386949592786e-06
FOXQ1	1.070919400351e-05	3.24337146332177e-06	7.34945217599968e-06	1.16370364188514e-07	1.01989760504771e-05	8.00080469338651e-06	1.43747530939883e-06
FOXR1	1.3410926774298e-05	2.11668606105327e-06	1.03742330782451e-05	7.54520804256875e-07	1.24566700578413e-05	7.87476091633884e-06	2.84039400812314e-06
FOXR2	1.10859004153644e-05	2.93987289711124e-06	7.57398012722936e-06	5.37171258699117e-07	9.58310495058373e-06	4.93198490527565e-06	2.10014728320166e-06
FOXRED1	2.50432286224984e-05	6.85765799005319e-06	1.66872252615367e-05	1.08259870191055e-06	2.14700856671404e-05	1.58115172956644e-05	7.28372445953538e-06
FOXRED2	4.39871194540291e-05	1.34708586520274e-05	2.91024131527708e-05	1.04911389231111e-06	3.75404686359917e-05	2.75058623450466e-05	1.32345840852596e-05
FOXS1	1.96167765186433e-05	5.60687301656126e-06	1.3595444300453e-05	3.71111203572517e-07	1.74170584758558e-05	1.18440856052798e-05	4.8204856427821e-06
FPGS	1.95242100700468e-05	5.27712230122583e-06	1.30899563688989e-05	6.56305628487114e-07	1.78855758751093e-05	1.23488730392886e-05	5.52686019391279e-06
FPGT	2.30789957013227e-05	5.30850636405557e-06	1.61770779853263e-05	1.06952342924645e-06	2.04202103464672e-05	1.29709939330456e-05	4.26834266947112e-06
FPGT-TNNI3K	3.87708743867906e-05	9.38424440337057e-06	2.66076011359771e-05	1.94966056400677e-06	3.56411193950363e-05	2.76081669870157e-05	9.31998896783734e-06
FPR1	1.68448414704489e-05	4.90807034389779e-06	1.16238677120849e-05	2.77810718953568e-07	1.4256879539584e-05	9.24388646553086e-06	3.67232892743817e-06
FPR2	1.46716103787126e-05	3.9737167328369e-06	1.0281516982273e-05	3.81500531278037e-07	1.26593836339356e-05	8.28024376507058e-06	2.97770078484866e-06
FPR3	1.51117843797568e-05	4.03690576265654e-06	1.06430627381134e-05	3.99413330065478e-07	1.29095465303209e-05	7.68378755504469e-06	3.04978674426768e-06
FRA10AC1	1.12891632825656e-05	2.70638363223912e-06	7.67595641318115e-06	6.68635114557374e-07	9.58342401258376e-06	7.74873820306165e-06	3.5902133640704e-06
FRAS1	0.00017055579368659	4.79575939232072e-05	0.000114938818020404	5.71928885592577e-06	0.000147587382966722	0.000102075759227165	4.14798754068721e-05
FREM1	8.84583653665537e-05	2.51075048409667e-05	5.98174119254163e-05	2.57796032457442e-06	7.6500408858074e-05	5.12832693417495e-05	2.19063098193869e-05
FREM2	0.00013931562612928	3.85146228279999e-05	9.57330101677229e-05	4.41517120130205e-06	0.000122991515698226	8.55448419811475e-05	3.36308938046394e-05
FREM3	9.71282254877084e-05	2.87422299517839e-05	6.53901104550487e-05	2.72747187346274e-06	8.44464598064922e-05	5.06649987984498e-05	1.901014157039e-05
FRG1	9.45300263976012e-06	2.25544771841141e-06	6.60577011900617e-06	3.20115370434953e-07	8.65865307181294e-06	6.55656517868044e-06	2.00557835838336e-06
FRG1B	6.0306361377571e-06	1.22665760863266e-06	4.36687640636266e-06	2.25318273052363e-07	5.34952158198924e-06	3.52456367847162e-06	9.5832893624772e-07
FRG2	1.06812396663534e-05	2.8709003573212e-06	7.21982693231928e-06	4.79249035888559e-07	8.97633349604106e-06	3.43634939051613e-06	2.22823736909867e-06
FRG2B	1.11167703539065e-05	2.8764447862733e-06	7.64981319092031e-06	4.79249035888559e-07	9.62447710117896e-06	3.54450599834096e-06	2.09127907653387e-06
FRG2C	1.10205009512856e-05	3.02331683111915e-06	7.40715940211168e-06	4.78690865786008e-07	9.22411055670507e-06	4.00280806356074e-06	2.52393815100171e-06
FRK	2.08986911331525e-05	5.83277621012675e-06	1.36756123435197e-05	1.23147390548597e-06	1.84255490166214e-05	1.34451828854746e-05	5.9599584610375e-06
FRMD1	2.78895320209535e-05	8.52965894679345e-06	1.82555122452634e-05	6.56653629829274e-07	2.22097329121284e-05	1.5186399809181e-05	7.11968600289817e-06
FRMD3	2.59680509083071e-05	6.81452147339679e-06	1.77351728527712e-05	9.93510654446165e-07	2.32537404126696e-05	1.61569141564542e-05	5.9206152531587e-06
FRMD4A	5.1245892001041e-05	1.56628555939516e-05	3.30364718686423e-05	1.77394272749826e-06	4.62123605075367e-05	3.40135669226289e-05	1.39043374697054e-05
FRMD4B	4.1442238559641e-05	1.15049796714842e-05	2.73776044195011e-05	2.0960005241624e-06	3.70079568394523e-05	2.84509252510382e-05	1.22694622381024e-05
FRMD5	2.44193305703093e-05	5.55700877939106e-06	1.69887234707072e-05	1.07066745771083e-06	2.19963033594179e-05	1.70703958624933e-05	7.8327205968251e-06
FRMD6	2.79103448482079e-05	7.19672304497398e-06	1.91556817317801e-05	1.05045355281624e-06	2.55469066148206e-05	1.92302397825088e-05	7.09704800225714e-06
FRMD7	2.54301999182581e-05	6.54679135891569e-06	1.7552256964184e-05	1.037147473076e-06	2.2781569100896e-05	1.60753969285757e-05	5.86731566467995e-06
FRMD8	2.3051380385353e-05	7.11622533565114e-06	1.44925461736894e-05	7.74776575862983e-07	2.0888810477833e-05	1.47110566345947e-05	5.48057059055959e-06
FRMPD1	7.06315006901358e-05	2.09417876945138e-05	4.6756535000456e-05	2.35646034799461e-06	6.06072000234141e-05	4.19431668700928e-05	2.0385289901526e-05
FRMPD2	5.43985013797947e-05	1.55400564612975e-05	3.62873394311439e-05	1.69281048702734e-06	4.56772462157083e-05	3.07686260829999e-05	1.30630593882838e-05
FRMPD3	8.08240933320408e-05	2.16900696680595e-05	5.56059214220049e-05	3.11544818034012e-06	7.14449011424894e-05	5.35531120213726e-05	1.82480632792975e-05
FRMPD4	6.27674209611456e-05	1.93072083690528e-05	4.11833924030764e-05	1.85655909497779e-06	5.52119636155569e-05	3.89883033901521e-05	1.45161766302294e-05
FRRS1	2.35733118930896e-05	5.7848771035674e-06	1.65265418048683e-05	9.40163718948461e-07	2.06325072365973e-05	1.37724579642048e-05	5.55294454253977e-06
FRRS1L	8.72755259054333e-06	2.16845584972858e-06	6.20495758184957e-06	3.05300953087961e-07	7.99990134578353e-06	6.86854162901232e-06	2.1984477280348e-06
FRS2	2.07113238395969e-05	4.92255542631004e-06	1.46050145317923e-05	1.05231381209138e-06	1.88231779483212e-05	1.40766131873103e-05	5.10267767623152e-06
FRS3	2.51878584764066e-05	6.94858813339601e-06	1.72541447662107e-05	8.74970801931837e-07	2.20300823394804e-05	1.67210427360312e-05	7.28624099862523e-06
FRY	0.000129897045052594	3.52915584822245e-05	8.74686294959825e-05	5.73340174847659e-06	0.000117140925057134	8.77378994587223e-05	3.82391790168245e-05
FRYL	0.000114246875405979	2.9752353030807e-05	7.82495579795662e-05	5.09890070003259e-06	0.000102359884031385	7.85875546272867e-05	2.90828487807492e-05
FRZB	1.81410584227159e-05	5.18193229937779e-06	1.24052991282531e-05	4.19838134753512e-07	1.71450950623254e-05	1.19846170816815e-05	4.11359876002456e-06
FSBP	1.09449118081009e-05	2.64014859592345e-06	7.75595815102119e-06	4.68720187370011e-07	9.85722618375902e-06	6.97696511141265e-06	2.45043141679126e-06
